"","BRCA","COAD","KIRC","LUAD","PRAD"
"BRCA",78,0,0,0,0
"COAD",0,22,0,0,0
"KIRC",0,0,33,0,0
"LUAD",0,1,1,29,1
"PRAD",0,0,0,0,36
