"","BRCA","COAD","KIRC","LUAD","PRAD"
"BRCA",222,0,0,0,0
"COAD",0,55,0,0,0
"KIRC",0,0,112,0,0
"LUAD",0,0,0,112,0
"PRAD",0,0,0,0,99
