"","BRCA","COAD","KIRC","LUAD","PRAD"
"BRCA",78,2,3,1,4
"COAD",0,21,0,0,0
"KIRC",0,0,31,0,0
"LUAD",0,0,0,28,0
"PRAD",0,0,0,0,33
