"","BRCA","COAD","KIRC","LUAD","PRAD"
"BRCA",77,0,1,1,0
"COAD",0,23,0,0,0
"KIRC",0,0,33,0,0
"LUAD",1,0,0,28,0
"PRAD",0,0,0,0,37
